SongID,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_emb_1,genre_emb_2,genre_emb_3,genre_emb_4,genre_emb_5,genre_emb_6,genre_emb_7,genre_emb_8,genre_emb_9,genre_emb_10,genre_emb_11,genre_emb_12,genre_emb_13,genre_emb_14,genre_emb_15,genre_emb_16,first_week,last_week,peak_position,weeks_on_chart,hit
JudyFrankie Vaughan,125933.0,0,0.517,0.42,9.0,-12.751,0.0,0.0713,0.964,0.000265,0.096,0.675,89.702,4.0,-0.78837687,-2.1138105,-0.96186876,-0.5294653,1.2112211,0.55959463,-0.081768416,0.11970038,-1.6008556,-1.0376301,-1.5353284,2.85716,0.108813636,-1.5559393,0.74235463,0.5579027,1958-08-02,1958-08-02,100,1,0
A Certain SmileJohnny Mathis,168293.0,0,0.233,0.337,5.0,-10.031,1.0,0.0307,0.8539999999999999,2e-06,0.274,0.218,73.57599999999998,4.0,0.034214817,-0.32160282,0.10163359,0.62385374,-0.26708868,0.06598066,0.41022342,-0.008245325,0.21588354,0.3707922,0.0947395,-0.12917557,-0.37588364,0.024677824,-0.0757281,-0.24254885,1958-08-02,1958-09-27,22,9,0
Just A DreamJimmy Clanton And His Rockets,152973.0,0,0.61,0.326,7.0,-12.266,1.0,0.0505,0.687,0.182,0.135,0.4149999999999999,125.822,3.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-11-08,4,15,1
Summertime BluesEddie Cochran,119360.0,0,0.7149999999999999,0.882,11.0,-8.61,0.0,0.0593,0.123,0.107,0.1749999999999999,0.957,156.571,4.0,-0.48321646,-1.3407022,-0.34843338,0.09583159,0.8635515,0.13547814,0.3494763,-0.21935,-0.14533207,-0.38935325,-0.79903936,0.7671315,0.13867225,-0.45366156,0.083399,-0.19383523,1958-08-02,1958-11-15,8,16,1
High School ConfidentialJerry Lee Lewis And His Pumping Piano,150026.0,0,0.6079999999999999,0.92,10.0,-6.792,1.0,0.0422,0.7139999999999999,0.0,0.138,0.965,92.385,4.0,-0.2701986,-0.42726606,0.34355548,-0.17687897,-0.58818007,-0.022466883,1.1927716,0.11421807,-0.27673906,-2.0342295,0.49539182,1.3348529,-1.0923308,0.66080564,1.7135601,0.7714148,1958-08-02,1958-08-09,63,2,0
Bird DogThe Everly Brothers,136426.0,0,0.658,0.7059999999999998,11.0,-9.076,1.0,0.0354,0.686,2e-06,0.166,0.965,141.194,4.0,0.35176188,-0.31039938,-0.5775238,0.65203094,-0.20807362,-0.5705977,0.023824483,-0.47990498,0.1879641,-0.18202385,0.05360024,0.36626086,0.60904753,-0.23189935,0.029449547,0.08016735,1958-08-02,1958-11-29,2,18,1
Do You Want To DanceBobby Freeman,165693.0,0,0.625,0.438,0.0,-12.003,1.0,0.0501,0.519,3.7e-05,0.155,0.957,155.537,4.0,-0.76588315,-0.6557995,-0.28307658,-0.050097972,1.1957016,0.16649081,0.2081641,0.26919398,-0.7768871,-0.26606914,-0.3343703,0.779695,0.2779439,-0.036882654,-0.3607981,-0.65493965,1958-08-02,1958-08-30,20,5,0
Blue BoyJim Reeves,129333.0,0,0.6129999999999999,0.372,0.0,-13.051,1.0,0.0299,0.785,0.00154,0.115,0.697,98.549,4.0,0.30549708,-1.3026873,-0.5906596,0.32184383,-0.7140848,0.30737254,-0.39752105,-0.6919666,-1.1111937,-0.83701396,-1.066489,0.0929006,1.0801259,-1.0232528,0.22099744,-0.66879606,1958-08-02,1958-09-13,45,6,0
Blue Blue DayDon Gibson,113240.0,0,0.7289999999999999,0.4859999999999999,4.0,-10.84,1.0,0.0299,0.794,0.0,0.192,0.978,100.161,4.0,-1.0917587,-1.4963464,-0.15249926,-0.574632,0.32427427,0.47025076,0.7508156,0.334648,-0.4914514,-0.65348625,-1.0292403,0.3494033,0.22494066,-0.2516682,0.16888909,-0.6126538,1958-08-02,1958-09-20,32,8,0
Stupid CupidConnie Francis,133746.0,0,0.6089999999999999,0.794,3.0,-4.739,1.0,0.0389,0.7339999999999999,6.2e-05,0.0479,0.968,136.036,4.0,0.10411723,-0.5891935,-0.49500737,0.2620471,0.09500714,0.03976544,-0.4382078,-0.42434216,-0.07879887,-0.13225606,-0.2977418,0.523857,0.3564241,-0.6835796,0.10438208,-0.09025706,1958-08-02,1958-10-25,17,13,0
Come Closer To Me (Acercate Mas)Nat King Cole,168826.0,0,0.548,0.256,3.0,-14.527,1.0,0.0374,0.823,1.4e-05,0.101,0.548,100.806,4.0,1.417689,-1.0867227,-0.47396395,2.0947976,-0.27559566,-0.2117988,-1.3814212,-2.1855211,-1.0381197,-0.4252132,-0.5962569,-0.80509436,2.2619152,-1.6894377,-0.73019195,-1.299511,1958-08-02,1958-09-27,41,9,0
Blip BlopBill Doggett,167840.0,0,0.662,0.648,10.0,-7.363,1.0,0.0475,0.534,0.124,0.162,0.8639999999999999,126.74,4.0,0.82271934,0.19589098,-0.86516553,-0.6113394,0.06831666,0.29239607,0.18278353,0.029208979,-0.33779988,0.2433592,-0.32140675,0.41478086,-0.094721355,1.1940571,-0.25331774,-0.5211219,1958-08-02,1958-08-16,82,2,0
Over And OverBobby Day,143320.0,0,0.638,0.55,0.0,-13.077,1.0,0.115,0.697,0.0,0.0938,0.559,80.233,4.0,-0.76588315,-0.6557995,-0.28307658,-0.050097972,1.1957016,0.16649081,0.2081641,0.26919398,-0.7768871,-0.26606914,-0.3343703,0.779695,0.2779439,-0.036882654,-0.3607981,-0.65493965,1958-08-02,1958-10-11,41,11,0
Jennie LeeJan & Arnie,120826.0,0,0.644,0.467,9.0,-15.255,1.0,0.0392,0.59,0.0032,0.108,0.966,116.639,4.0,-0.3945307,1.0292604,-0.12523255,-0.5248283,0.13915603,0.6394216,-1.9370875,0.0072736046,0.6806207,0.69627655,0.42165205,-0.13155897,0.4776891,-0.74265575,0.92344904,-1.3311518,1958-08-02,1958-08-09,44,2,0
Are You Really MineJimmie Rodgers,148533.0,0,0.7,0.195,1.0,-16.657,1.0,0.0322,0.749,0.0,0.0472,0.5799999999999998,101.858,4.0,0.17076468,-0.3548931,0.18701477,-0.21644874,0.2853793,-0.74755096,-0.4408227,-0.80885756,0.36660624,-0.1281574,-0.24113007,-0.16366756,-0.049731374,0.016041398,0.09475593,-0.03481735,1958-08-02,1958-10-25,10,13,0
FeverPeggy Lee,202506.0,0,0.794,0.0715,7.0,-21.305,1.0,0.131,0.388,0.0,0.111,0.333,68.331,4.0,0.43564835,0.12188716,-0.59497684,0.124806404,-0.28775853,-0.61850023,-0.710704,-0.3704006,0.27048263,0.20936485,-0.13127708,0.33609715,0.5468651,-0.20399925,-0.26980478,-0.24249049,1958-08-02,1958-10-18,8,12,0
Enchanted IslandThe Four Lads,181653.0,0,0.3459999999999999,0.552,2.0,-8.499,1.0,0.0344,0.681,0.0,0.334,0.371,84.64799999999998,4.0,0.9907241,-0.18998313,-0.8049862,0.894506,-0.008200049,-0.19887756,-0.67626256,0.26805744,0.22382514,0.12346691,-0.41733548,0.0374676,-0.30230975,-1.111355,-0.38136104,-0.67158955,1958-08-02,1958-09-13,29,7,0
